team_name,opponent_name,team_city,opponent_city,distance
Benfica Castelo Branco,Naval 1º de Maio,Castelo Branco,Figueira da Foz,121
Benfica Castelo Branco,Olhanense,Castelo Branco,Olhão,310
Benfica Castelo Branco,Penafiel,Castelo Branco,Penafiel,168
Benfica Castelo Branco,Santa Eulália,Castelo Branco,Vizela,184
Benfica Castelo Branco,União de Leiria,Castelo Branco,Leiria,66
Benfica Castelo Branco,Vitoria Setubal,Castelo Branco,Setúbal,186
Benfica Castelo Branco,Águias do Moradal,Castelo Branco,Estreito,26
Berço,Belenenses,Guimarães,Lisbon,312
Berço,Feirense,Guimarães,Santa Maria da Feira,61
Berço,Joane,Guimarães,Famalicão,10
Berço,Vilaverdense,Guimarães,Vila Verde,26
Boavista,Guimaraes,Porto,Guimarães,42
Bragança,Alcains,Bragança,Alcains,217
Bragança,Monção,Bragança,Monção,146
Bragança,Olímpico do Montijo,Bragança,Montijo,392
Bragança,Os Limianos,Bragança,Ponte de Lima,152
Bragança,Pevidem,Bragança,Guimarães,140
Brito,Feirense,Guimarães,Santa Maria da Feira,61
CD Olivais e Moscavide,Sporting CP,Lisbon,Lisbon,0
CD Torres Novas,Maria da Fonte,Torres Novas,Póvoa de Lanhoso,235
CF Os Belenenses,GIL Vicente,Lisbon,Barcelos,317
CF Os Belenenses,Sporting CP,Lisbon,Lisbon,0
CF Os Belenenses,Torreense,Lisbon,Torres Vedras,54
Caldas,Amora,Caldas da Rainha,Amora,86
Caldas,Arouca,Caldas da Rainha,Arouca,186
Caldas,Belenenses,Caldas da Rainha,Lisbon,78
Caldas,Estoril,Caldas da Rainha,Estoril,80
Caldas,Farense,Caldas da Rainha,Faro,287
Caldas,Gafanha,Caldas da Rainha,Gafanha da Nazaré,141
Caldas,Olímpico do Montijo,Caldas da Rainha,Montijo,78
Caldas,SC Covilha,Caldas da Rainha,Covilhã,170
Caldas,Varzim,Caldas da Rainha,Póvoa de Varzim,222
Calvão,Carapinheirense,Vagos,Carapinheira,31
Camacha,Amarante,Camacha,Amarante,1231
Camacha,Famalicao,Camacha,Famalicão,1217
Camacha,Felgueiras 1932,Camacha,Felgueiras,1222
Camacha,Ribeirão,Camacha,Vila Nova de Famalicão,1212
Camacha,Tondela,Camacha,Tondela,1169
Camacha,Vitória de Sernache,Camacha,Cernache do Bonjardim,1108
Canelas 2010,Ançã,Vila Nova de Gaia,Cantanhede,90
Canelas 2010,Casa Pia,Vila Nova de Gaia,Lisbon,265
Canelas 2010,Chaves,Vila Nova de Gaia,Chaves,113
Canelas 2010,Fontinhas,Vila Nova de Gaia,Praia da Vitória,1600
Canelas 2010,Foz,Vila Nova de Gaia,Porto,10
Canelas 2010,Guimaraes,Vila Nova de Gaia,Guimarães,47
Canelas 2010,Maritimo,Vila Nova de Gaia,Funchal,1193
Canelas 2010,Moreirense,Vila Nova de Gaia,Moreira de Cónegos,39
Canelas 2010,Resende,Vila Nova de Gaia,Resende,91
Canelas 2010,Régua,Vila Nova de Gaia,Peso da Régua,70
Canelas 2010,União Lamas,Vila Nova de Gaia,Santa Maria de Lamas,12
Canelas 2010,Valadares Gaia,Vila Nova de Gaia,Vila Nova de Gaia,3
Carapinheirense,Pinhalnovense,Carapinheira,Pinhal Novo,176
Cartaxo,Mosteirense,Cartaxo,Mosteirô,194
Carção,Vilafranquense,Vimioso,Vila Franca de Xira,357
Casa Pia,Angrense,Lisbon,Angra do Heroísmo,1565
Casa Pia,Fabril Barreiro,Lisbon,Barreiro,16
Casa Pia,Farense,Lisbon,Faro,222
Casa Pia,Graciosa,Lisbon,Santa Cruz da Graciosa,1629
Casa Pia,Nacional,Lisbon,Funchal,970
Casa Pia,Olímpico do Montijo,Lisbon,Montijo,21
Casa Pia,Pinhalnovense,Lisbon,Pinhal Novo,28
Casa Pia,Recreativo Canaviais,Lisbon,Évora,114
Casa Pia,Vizela,Lisbon,Vizela,303
Castrense,Penedo Gordo,Castro Verde,Beja,35
Castrense,Vila Meã,Castro Verde,Amarante,394
Castro Daire,Trancoso,Castro Daire,Trancoso,51
Caçadores das Taipas,Arouca,Guimarães,Arouca,62
Caçadores das Taipas,Fafe,Guimarães,Fafe,14
Cerva,Amarante,Ribeira de Pena,Amarante,30
Cerva,Freamunde,Ribeira de Pena,Freamunde,47
Cerva,Maria da Fonte,Ribeira de Pena,Póvoa de Lanhoso,37
Cerveira,Brito,Vila Nova de Cerveira,Guimarães,62
Cerveira,Oriental Lisboa,Vila Nova de Cerveira,Lisbon,360
Cesarense,Caldas,Oliveira de Azeméis,Caldas da Rainha,176
Cesarense,Moimenta da Beira,Oliveira de Azeméis,Moimenta da Beira,71
Cesarense,SC Covilha,Oliveira de Azeméis,Covilhã,105
Cesarense,Sporting Mêda,Oliveira de Azeméis,Mêda,100
Cesarense,Águias do Moradal,Oliveira de Azeméis,Estreito,122
Charneca Caparica,Operário,Almada,"Lagoa, Azores",1437
Chaves,Belenenses,Chaves,Lisbon,360
Chaves,FC Porto,Chaves,Porto,109
Chaves,Sporting CP,Chaves,Lisbon,360
Cinfães,Benfica Castelo Branco,Cinfães,Castelo Branco,148
Cinfães,Espinho,Cinfães,Espinho,47
Cinfães,Farense,Cinfães,Faro,452
Cinfães,Salgueiros,Cinfães,Porto,44
Coimbrões,FC Porto,Vila Nova de Gaia,Porto,12
Coimbrões,Famalicao,Vila Nova de Gaia,Famalicão,32
Coimbrões,GD Prado,Vila Nova de Gaia,Vila Verde,61
Coimbrões,Gondomar,Vila Nova de Gaia,Gondomar,72
Coimbrões,Praiense,Vila Nova de Gaia,Praia da Vitória,1595
Coimbrões,Rio Tinto,Vila Nova de Gaia,Gondomar,9
Coimbrões,Régua,Vila Nova de Gaia,Peso da Régua,71
Coimbrões,Valadares Gaia,Vila Nova de Gaia,Vila Nova de Gaia,3
Condeixa,GIL Vicente,Condeixa-a-Nova,Barcelos,157
Condeixa,Lagos,Condeixa-a-Nova,Lagos,334
Condeixa,Mação,Condeixa-a-Nova,Mação,75
Condeixa,Nacional,Condeixa-a-Nova,Funchal,1120
Condeixa,Pacos Ferreira,Condeixa-a-Nova,Paços de Ferreira,129
Condeixa,Pombal,Condeixa-a-Nova,Pombal,25
Condeixa,Rio Ave,Condeixa-a-Nova,Vila do Conde,139
Coruchense,Mondinense,Coruche,Mondim de Basto,276
Coruchense,Olímpico do Montijo,Coruche,Montijo,48
Coruchense,Trofense,Coruche,Trofa,264
Courense,Camacha,Paredes de Coura,Camacha,1259
Coutada,Fayal,Viseu,Horta,1785
Cova De Piedade,Anadia,Cova da Piedade,Anadia,206
Cova De Piedade,Aves,Cova da Piedade,Vila das Aves,306
Cova De Piedade,Benfica,Cova da Piedade,Lisbon,9
Cova De Piedade,Moreirense,Cova da Piedade,Moreira de Cónegos,309
Cova De Piedade,Portimonense,Cova da Piedade,Portimão,179
Cova De Piedade,Sporting CP,Cova da Piedade,Lisbon,5
