Team_name,Opponent_name,Distance
FC Nurnberg,Hertha Berlin,373
FC Nurnberg,RB Leipzig,229
FC Nurnberg,SpVgg Greuther Furth,12
FC Nurnberg,VfB Stuttgart,156
FC Nurnberg,VfL Wolfsburg,334
FC Rielasingen-Arlen,Borussia Dortmund,395
FC Rielasingen-Arlen,Holstein Kiel,739
FC Saarbrucken,1.FC Köln,186
FC Saarbrucken,Bayer Leverkusen,199
FC Saarbrucken,Borussia Dortmund,264
FC Saarbrucken,Erzgebirge AUE,436
FC Saarbrucken,FC Schalke 04,259
FC Saarbrucken,Fortuna Dusseldorf,226
FC Saarbrucken,Jahn Regensburg,372
FC Saarbrucken,Karlsruher SC,106
FC Saarbrucken,SC Paderborn 07,303
FC Saarbrucken,Union Berlin,585
FC Saarbrucken,Werder Bremen,445
FC Saarbrücken,Bayern Munich,354
FC Saarbrücken,Borussia Monchengladbach,220
FC Saarbrücken,Eintracht Frankfurt,160
FC Saarbrücken,FC Kaiserslautern,61
FC Saarbrücken,Karlsruher SC,106
FC Schalke 04,1.FC Köln,73
FC Schalke 04,1899 Hoffenheim,284
FC Schalke 04,Eintracht Frankfurt,197
FC Schalke 04,FSV Mainz 05,192
FC Schalke 04,Fortuna Dusseldorf,40
FC Schalke 04,Hertha Berlin,437
FC Schalke 04,SV Sandhausen,272
FC Schalke 04,VfL Wolfsburg,275
FC Schalke 04,Werder Bremen,207
FC Schweinfurt 05,Eintracht Frankfurt,108
FC Schweinfurt 05,FC Schalke 04,279
FC Schweinfurt 05,SV Sandhausen,139
FC St. Pauli,Borussia Dortmund,264
FC St. Pauli,Borussia Monchengladbach,357
FC St. Pauli,Eintracht Frankfurt,390
FC St. Pauli,FC Schalke 04,297
FC St. Pauli,Fortuna Dusseldorf,337
FC St. Pauli,Hertha Berlin,248
FC Viktoria Koln,1899 Hoffenheim,223
FC Viktoria Koln,Bayer Leverkusen,14
FC Viktoria Koln,Bayern Munich,445
FC Viktoria Koln,Eintracht Frankfurt,148
FC Viktoria Koln,FC Nurnberg,335
FC Viktoria Koln,Hertha Berlin,465
FC Viktoria Koln,RB Leipzig,375
FC Viktoria Koln,Union Berlin,484
FC Viktoria Koln,Werder Bremen,271
FC Wurzburger Kickers,1899 Hoffenheim,98
FC Wurzburger Kickers,Eintracht Braunschweig,281
FC Wurzburger Kickers,Fortuna Dusseldorf,280
FC Wurzburger Kickers,Hannover 96,288
FC Wurzburger Kickers,SC Freiburg,250
FC Wurzburger Kickers,TSV 1860 Munich,223
FC Wurzburger Kickers,Werder Bremen,372
FSV Frankfurt,FC Ingolstadt 04,248
FSV Frankfurt,Hansa Rostock,497
FSV Frankfurt,Hertha Berlin,412
FSV Mainz 05,1.FC Köln,139
FSV Mainz 05,Arminia Bielefeld,226
FSV Mainz 05,Bayern Munich,314
FSV Mainz 05,Erzgebirge AUE,324
FSV Mainz 05,SC Freiburg,225
FSV Mainz 05,TSV 1860 Munich,322
FSV Mainz 05,VfB Stuttgart,151
FSV Mainz 05,Vfl Bochum,182
FSV Zwickau,Hamburger SV,283
FT Braunschweig,1.FC Köln,293
FV Engers 07,Arminia Bielefeld,191
FV Engers 07,Vfl Bochum,122
FV Ravensburg,FC Augsburg,116
Falkensee-Finkenkrug,VfB Stuttgart,499
Fortuna Dusseldorf,Borussia Dortmund,148
Fortuna Dusseldorf,Borussia Monchengladbach,22
Fortuna Dusseldorf,Erzgebirge AUE,425
Fortuna Dusseldorf,TSV 1860 Munich,495
Fortuna Koln,FSV Mainz 05,137
Germania Egestorf,1899 Hoffenheim,240
Germania Halberstadt,SC Freiburg,490
Germania Halberstadt,Union Berlin,183
Germania Windeck,1899 Hoffenheim,194
Greifswalder FC,FC Augsburg,660
Hallescher FC,Eintracht Braunschweig,135
Hallescher FC,Eintracht Frankfurt,272
Hallescher FC,FC Kaiserslautern,373
Hallescher FC,Hamburger SV,363
Hallescher FC,MSV Duisburg,363
Hallescher FC,SpVgg Greuther Furth,229
Hallescher FC,VfL Wolfsburg,134
Hamburger SV,1.FC Köln,476
Hamburger SV,Bayern Munich,35
Hamburger SV,Borussia Monchengladbach,519
Hamburger SV,FC Nurnberg,151
Hamburger SV,RB Leipzig,350
Hamburger SV,SC Freiburg,307
Hamburger SV,SpVgg Greuther Furth,162
Hannover 96,Borussia Monchengladbach,263
Hannover 96,Dynamo Dresden,314
Hannover 96,Eintracht Frankfurt,259
Hannover 96,FSV Mainz 05,284
Hannover 96,Fortuna Dusseldorf,241
Hannover 96,RB Leipzig,213
Hannover 96,Werder Bremen,98
Hansa Rostock,FC Heidenheim,618
Hansa Rostock,FC Kaiserslautern,596
Hansa Rostock,FC Nurnberg,521
Hansa Rostock,Fortuna Dusseldorf,479
Hansa Rostock,Hertha Berlin,191
Hansa Rostock,VfB Stuttgart,621
Hansa Rostock,Vfl Bochum,435
Havelse,FC Nurnberg,347
Havelse,FSV Mainz 05,284
Havelse,Vfl Bochum,192
Hennef 05,TSV 1860 Munich,430
Hertha Berlin,1.FC Köln,473
Hertha Berlin,Bayern Munich,498
Hertha Berlin,Borussia Dortmund,331
Hertha Berlin,Borussia Monchengladbach,491
Hertha Berlin,Dynamo Dresden,168
Hertha Berlin,FC Kaiserslautern,514
Hertha Berlin,FSV Mainz 05,447
Hertha Berlin,Hamburger SV,487
Hertha Berlin,Union Berlin,23
Hessen Kassel,Fortuna Dusseldorf,193
Hessen Kassel,Hannover 96,119
Holstein Kiel,Bayern Munich,691
Holstein Kiel,Borussia Dortmund,350
Holstein Kiel,Eintracht Braunschweig,228
Holstein Kiel,Energie Cottbus,402
Holstein Kiel,FC Augsburg,665
Holstein Kiel,FC Magdeburg,264
Holstein Kiel,FSV Mainz 05,499
Holstein Kiel,MSV Duisburg,401
Holstein Kiel,SC Freiburg,723
Holstein Kiel,SV Darmstadt 98,506
Holstein Kiel,TSV 1860 Munich,700
Holstein Kiel,VfB Stuttgart,618
Illertissen,Eintracht Frankfurt,235
Illertissen,FC Heidenheim,50
Illertissen,Fortuna Dusseldorf,416
Illertissen,Werder Bremen,546
Jahn Regensburg,1.FC Köln,427
Jahn Regensburg,Bayern Munich,100
Jahn Regensburg,Borussia Monchengladbach,469
Jahn Regensburg,FC Heidenheim,147
Jahn Regensburg,FC Magdeburg,349
Jahn Regensburg,Fortuna Dusseldorf,457
Jahn Regensburg,Hansa Rostock,565
Jahn Regensburg,Hertha Berlin,399
Jahn Regensburg,SV Darmstadt 98,267
Jahn Regensburg,Union Berlin,398
Jahn Regensburg,Werder Bremen,506
KFC Uerdingen 05,Borussia Dortmund,154
Kaan-Marienborn,FC Nurnberg,272
Karlsruher SC,Alemannia Aachen,258
Karlsruher SC,Bayer Leverkusen,245
Karlsruher SC,FC Schalke 04,298
Karlsruher SC,Hamburger SV,280
Karlsruher SC,Hannover 96,385
Karlsruher SC,MSV Duisburg,287
Karlsruher SC,SC Freiburg,121
Karlsruher SC,Union Berlin,527
Karlsruher SC,VfL Wolfsburg,416
Kickers Emden,FSV Frankfurt,377
Kickers Offenbach,Borussia Monchengladbach,203
Kickers Offenbach,FC Ingolstadt 04,244
Kickers Offenbach,Fortuna Dusseldorf,193
Kickers Offenbach,Hannover 96,262
Kickers Offenbach,Karlsruher SC,123
Kickers Offenbach,SpVgg Greuther Furth,174
Kickers Offenbach,Union Berlin,425
Kickers Offenbach,VfL Wolfsburg,296
Leher,1.FC Köln,281
Lippstadt 08,Bayer Leverkusen,119
Lokomotive Leipzig,Bayer Leverkusen,385
Lokomotive Leipzig,Eintracht Frankfurt,296
Luneburger SK Hansa,FSV Mainz 05,355
MSV Duisburg,1.FC Köln,53
MSV Duisburg,1899 Hoffenheim,277
MSV Duisburg,Borussia Dortmund,148
MSV Duisburg,FC Nurnberg,379
MSV Duisburg,FC Schalke 04,31
MSV Duisburg,SC Paderborn 07,143
MSV Duisburg,SpVgg Greuther Furth,367
MSV Duisburg,Union Berlin,485
Makkabi,VfL Wolfsburg,297
Meinerzhagen,SpVgg Greuther Furth,298
Neckarsulmer SU,FC Kaiserslautern,112
Neubrandenburg 04,Karlsruher SC,607
Neustrelitz,Karlsruher SC,582
Neustrelitz,SC Freiburg,700
Oberachern,Borussia Monchengladbach,308
Oberachern,SC Freiburg,71
Oberneuland,Borussia Dortmund,201
Oberneuland,Borussia Monchengladbach,273
Oberneuland,FC Ingolstadt 04,512
Oberneuland,FC Nurnberg,434
Oberneuland,SV Darmstadt 98,358
Offenburger FV,FC St. Pauli,574
Optik Rathenow,FC St. Pauli,191
Optik Rathenow,FSV Frankfurt,373
Paloma,1899 Hoffenheim,185
Pfeddersheim,SpVgg Greuther Furth,197
Pirmasens,FC Heidenheim,195
Preussen Munster,Bayern Munich,502
Preussen Munster,FC Augsburg,460
Preussen Munster,FC St. Pauli,240
Preussen Munster,Hertha Berlin,389
Preussen Munster,VfL Wolfsburg,225
Preussen Munster,Werder Bremen,151
