team_name,opponent_name,Distance,distance
FC Nurnberg,RB Leipzig,,229.0
FC Nurnberg,SpVgg Greuther Furth,,12.0
FC Nurnberg,VfB Stuttgart,,156.0
FC Nurnberg,VfL Wolfsburg,,334.0
FC Rielasingen-Arlen,Borussia Dortmund,,395.0
FC Rielasingen-Arlen,Holstein Kiel,,739.0
FC Saarbrucken,1.FC Köln,,186.0
FC Saarbrucken,Bayer Leverkusen,,199.0
FC Saarbrucken,Borussia Dortmund,,264.0
FC Saarbrucken,Erzgebirge AUE,,436.0
FC Saarbrucken,FC Schalke 04,,259.0
FC Saarbrucken,Fortuna Dusseldorf,,222.0
FC Saarbrucken,Jahn Regensburg,,372.0
FC Saarbrucken,Karlsruher SC,,106.0
FC Saarbrucken,SC Paderborn 07,,303.0
FC Saarbrucken,Union Berlin,,585.0
FC Saarbrucken,Werder Bremen,,445.0
FC Saarbrücken,Bayern Munich,,354.0
FC Saarbrücken,Borussia Monchengladbach,,220.0
FC Saarbrücken,Eintracht Frankfurt,,151.0
FC Saarbrücken,FC Kaiserslautern,,61.0
FC Saarbrücken,Karlsruher SC,,106.0
FC Schalke 04,1.FC Köln,,73.0
FC Schalke 04,1899 Hoffenheim,,284.0
FC Schalke 04,Eintracht Frankfurt,,200.0
FC Schalke 04,FSV Mainz 05,,192.0
FC Schalke 04,Fortuna Dusseldorf,,40.0
FC Schalke 04,Hertha Berlin,,437.0
FC Schalke 04,SV Sandhausen,,272.0
FC Schalke 04,VfL Wolfsburg,,275.0
FC Schalke 04,Werder Bremen,,207.0
FC Schweinfurt 05,Eintracht Frankfurt,,114.0
FC Schweinfurt 05,FC Schalke 04,,279.0
FC Schweinfurt 05,SV Sandhausen,,139.0
FC St. Pauli,Borussia Dortmund,,264.0
FC St. Pauli,Borussia Monchengladbach,,357.0
FC St. Pauli,Eintracht Frankfurt,,398.0
FC St. Pauli,FC Schalke 04,,297.0
FC St. Pauli,Fortuna Dusseldorf,,336.0
FC St. Pauli,Hertha Berlin,,248.0
FC Viktoria Koln,1899 Hoffenheim,,223.0
FC Viktoria Koln,Bayer Leverkusen,,14.0
FC Viktoria Koln,Bayern Munich,,445.0
FC Viktoria Koln,Eintracht Frankfurt,,148.0
FC Viktoria Koln,FC Nurnberg,,335.0
FC Viktoria Koln,Hertha Berlin,,465.0
FC Viktoria Koln,RB Leipzig,,375.0
FC Viktoria Koln,Union Berlin,,484.0
FC Viktoria Koln,Werder Bremen,,271.0
FC Wurzburger Kickers,1899 Hoffenheim,,98.0
FC Wurzburger Kickers,Eintracht Braunschweig,,281.0
FC Wurzburger Kickers,Fortuna Dusseldorf,,273.0
FC Wurzburger Kickers,Hannover 96,,288.0
FC Wurzburger Kickers,SC Freiburg,,250.0
FC Wurzburger Kickers,TSV 1860 Munich,,222.0
FC Wurzburger Kickers,Werder Bremen,,372.0
FSV Frankfurt,FC Ingolstadt 04,,248.0
FSV Frankfurt,Hansa Rostock,,497.0
FSV Frankfurt,Hertha Berlin,,412.0
FSV Mainz 05,1.FC Köln,,139.0
FSV Mainz 05,Arminia Bielefeld,,226.0
FSV Mainz 05,Bayern Munich,,314.0
FSV Mainz 05,Erzgebirge AUE,,324.0
FSV Mainz 05,SC Freiburg,,225.0
FSV Mainz 05,TSV 1860 Munich,,321.0
FSV Mainz 05,VfB Stuttgart,,151.0
FSV Mainz 05,Vfl Bochum,,182.0
FSV Zwickau,Hamburger SV,,283.0
FT Braunschweig,1.FC Köln,,293.0
FV Engers 07,Arminia Bielefeld,,191.0
FV Engers 07,Vfl Bochum,,122.0
FV Ravensburg,FC Augsburg,,116.0
Falkensee-Finkenkrug,VfB Stuttgart,,499.0
Fortuna Dusseldorf,Borussia Dortmund,,142.0
Fortuna Dusseldorf,Borussia Monchengladbach,,27.0
Fortuna Dusseldorf,Erzgebirge AUE,,418.0
