year,round,stage,fixture_id,fixture_date,team_name,team_id,opponent_name,opponent_id,team_win,team_home,fixture_length,fixture_location,division,opponent_rank_prev,team_rank_prev,team_rank,Rank_diff,const,team_max_stage,distance,best_match,match_ratio,league,team_name_fin,team_size,mean_age,foreigners,mean_value,total_value
2012,2nd Round,2,559956,2012-10-30T19:30:00+00:00,Borussia Dortmund,165,VfR Aalen,1327,1.0,away,90.0,Scholz Arena,3.0,38.0,1.0,2.0,37.0,1,4,285,Borussia Dortmund,1.0,Bundesliga,Borussia Dortmund,31.0,24.2,10.0,9.75,302.3
2012,2nd Round,2,559957,2012-10-30T19:30:00+00:00,FSV Mainz 05,164,Erzgebirge AUE,190,1.0,home,90.0,Coface Arena,2.0,33.0,13.0,13.0,20.0,1,4,0,1.FSV Mainz 05,0.9230769230769231,Bundesliga,1.FSV Mainz 05,32.0,26.4,18.0,1.64,52.43
2012,2nd Round,2,559957,2012-10-30T19:30:00+00:00,Erzgebirge AUE,190,FSV Mainz 05,164,0.0,away,90.0,Coface Arena,1.0,13.0,33.0,33.0,-20.0,1,2,324,FC Erzgebirge Aue,0.7741935483870968,Bundesliga_2,FC Erzgebirge Aue,28.0,26.1,5.0,0.482,13.5
2012,2nd Round,2,559958,2012-10-31T18:00:00+00:00,Karlsruher SC,785,MSV Duisburg,187,1.0,home,90.0,Wildparkstadion,2.0,28.0,34.0,37.0,-6.0,1,3,0,Karlsruher SC,1.0,Bundesliga_3,Karlsruher SC,32.0,24.3,9.0,0.352,11.25
2012,2nd Round,2,559958,2012-10-31T18:00:00+00:00,MSV Duisburg,187,Karlsruher SC,785,0.0,away,90.0,Wildparkstadion,2.0,34.0,28.0,29.0,6.0,1,2,287,MSV Duisburg,1.0,Bundesliga_2,MSV Duisburg,31.0,25.6,14.0,0.545,16.9
2012,2nd Round,2,559959,2012-10-31T18:00:00+00:00,VfB Stuttgart,172,FC St. Pauli,186,1.0,home,90.0,Mercedes-Benz-Arena,2.0,22.0,6.0,12.0,16.0,1,6,0,VfB Stuttgart,1.0,Bundesliga,VfB Stuttgart,34.0,25.4,19.0,2.74,93.13
2012,2nd Round,2,559959,2012-10-31T18:00:00+00:00,FC St. Pauli,186,VfB Stuttgart,172,0.0,away,90.0,Mercedes-Benz-Arena,1.0,6.0,22.0,28.0,-16.0,1,2,531,FC St. Pauli,1.0,Bundesliga_2,FC St. Pauli,33.0,24.6,6.0,0.686,22.65
2012,2nd Round,2,559960,2012-10-31T18:00:00+00:00,Kickers Offenbach,1628,Union Berlin,182,1.0,home,90.0,Sparda-Bank-Hessen-Stadion,2.0,25.0,44.0,51.0,-19.0,1,4,0,Kickers Offenbach,1.0,Bundesliga_3,Kickers Offenbach,29.0,24.8,3.0,0.223,6.48
2012,2nd Round,2,559961,2012-10-31T18:00:00+00:00,Bayer Leverkusen,168,Arminia Bielefeld,188,1.0,away,120.0,SchücoArena,3.0,49.0,5.0,3.0,44.0,1,3,157,Bayer 04 Leverkusen,0.9142857142857143,Bundesliga,Bayer 04 Leverkusen,33.0,23.6,11.0,4.71,155.3
2012,2nd Round,2,559962,2012-10-31T19:30:00+00:00,Fortuna Dusseldorf,158,Borussia Monchengladbach,163,1.0,home,120.0,ESPRIT arena,1.0,4.0,21.0,17.0,-17.0,1,3,0,Fortuna Düsseldorf,0.9444444444444444,Bundesliga,Fortuna Düsseldorf,35.0,25.7,20.0,0.89,31.15
2012,2nd Round,2,559962,2012-10-31T19:30:00+00:00,Borussia Monchengladbach,163,Fortuna Dusseldorf,158,0.0,away,120.0,ESPRIT arena,2.0,21.0,4.0,8.0,17.0,1,2,27,Borussia Mönchengladbach,0.9583333333333334,Bundesliga,Borussia Mönchengladbach,29.0,24.3,14.0,3.01,87.33
2012,2nd Round,2,559963,2012-10-31T19:30:00+00:00,Hannover 96,166,Dynamo Dresden,183,1.0,home,120.0,AWD-Arena,2.0,27.0,7.0,9.0,20.0,1,3,0,Hannover 96,1.0,Bundesliga,Hannover 96,35.0,25.6,20.0,2.38,83.15
2012,2nd Round,2,559963,2012-10-31T19:30:00+00:00,Dynamo Dresden,183,Hannover 96,166,0.0,away,120.0,AWD-Arena,1.0,7.0,27.0,34.0,-20.0,1,2,320,SG Dynamo Dresden,0.9032258064516129,Bundesliga_2,SG Dynamo Dresden,30.0,24.7,14.0,0.479,14.38
2012,2nd Round,2,559964,2012-10-31T19:30:00+00:00,Bayern Munich,157,FC Kaiserslautern,745,1.0,home,90.0,Allianz-Arena,1.0,18.0,2.0,1.0,16.0,1,6,0,Bayern Munich,1.0,Bundesliga,Bayern Munich,29.0,25.3,13.0,15.94,462.4
2012,2nd Round,2,559964,2012-10-31T19:30:00+00:00,FC Kaiserslautern,745,Bayern Munich,157,0.0,away,90.0,Allianz-Arena,1.0,2.0,18.0,21.0,-16.0,1,2,310,1.FC Kaiserslautern,0.9444444444444444,Bundesliga_2,1.FC Kaiserslautern,38.0,25.3,17.0,0.929,35.3
2012,2nd Round,2,559965,2012-10-31T19:30:00+00:00,VfL Wolfsburg,161,FSV Frankfurt,1332,1.0,home,90.0,VOLKSWAGEN ARENA,2.0,31.0,8.0,11.0,23.0,1,5,0,VfL Wolfsburg,1.0,Bundesliga,VfL Wolfsburg,36.0,25.8,26.0,3.03,109.0
2012,2nd Round,2,559965,2012-10-31T19:30:00+00:00,FSV Frankfurt,1332,VfL Wolfsburg,161,0.0,away,90.0,VOLKSWAGEN ARENA,1.0,8.0,31.0,22.0,-23.0,1,2,295,FSV Frankfurt,1.0,Bundesliga_2,FSV Frankfurt,33.0,24.0,12.0,0.439,14.5
2012,1st Round,1,559966,2012-08-17T17:00:00+00:00,SG Sonnenhof Grossaspach,1317,FSV Frankfurt,1332,0.0,home,90.0,comtech-Arena,2.0,31.0,80.0,80.0,-49.0,1,1,0,SG Sonnenhof Großaspach,0.9361702127659575,,,,,,,
2012,1st Round,1,559966,2012-08-17T17:00:00+00:00,FSV Frankfurt,1332,SG Sonnenhof Grossaspach,1317,1.0,away,90.0,comtech-Arena,,80.0,31.0,22.0,49.0,1,2,137,FSV Frankfurt,1.0,Bundesliga_2,FSV Frankfurt,33.0,24.0,12.0,0.439,14.5
