team_name,opponent_name,team_city,opponent_city,distance
Feyenoord,Willem II,Rotterdam,Tilburg,54
Flevo Boys,Katwijk,Emmeloord,Katwijk,108
Fortuna Sittard,ADO Den Haag,Sittard,The Hague,156
Fortuna Sittard,AZ Alkmaar,Sittard,Alkmaar,196
Fortuna Sittard,Cambuur,Sittard,Leeuwarden,246
Fortuna Sittard,FC OSS,Sittard,Oss,89
Fortuna Sittard,GO Ahead Eagles,Sittard,Deventer,145
Fortuna Sittard,PEC Zwolle,Sittard,Zwolle,171
GO Ahead Eagles,FC Eindhoven,Deventer,Eindhoven,106
GO Ahead Eagles,Helmond Sport,Deventer,Helmond,97
GO Ahead Eagles,NAC Breda,Deventer,Breda,127
GO Ahead Eagles,PSV Eindhoven,Deventer,Eindhoven,106
GO Ahead Eagles,Roda,Deventer,Kerkrade,158
GO Ahead Eagles,Utrecht,Deventer,Utrecht,79
GOES,Cambuur,Goes,Leeuwarden,230
GVVV Veenendaal,Den Bosch,Veenendaal,Den Bosch,41
GVVV Veenendaal,Dordrecht,Veenendaal,Dordrecht,66
GVVV Veenendaal,Helmond Sport,Veenendaal,Helmond,62
GVVV Veenendaal,Koninklijke HFC,Veenendaal,Haarlem,74
GVVV Veenendaal,PSV Eindhoven,Veenendaal,Eindhoven,65
GVVV Veenendaal,Sparta Rotterdam,Veenendaal,Rotterdam,78
Gemert,Feyenoord,Gemert,Rotterdam,89
Groene Ster,Heerenveen,Heerlerheide,Heerenveen,227
Groene Ster,TEC,Heerlerheide,Tiel,116
Groene Ster,VVV Venlo,Heerlerheide,Venlo,53
Groningen,Helmond Sport,Groningen,Helmond,204
Groningen,NEC Nijmegen,Groningen,Nijmegen,160
Groningen,Spakenburg,Groningen,Bunschoten-Spakenburg,133
Groningen,Twente,Groningen,Enschede,108
Groningen,Utrecht,Groningen,Utrecht,159
HHC,PEC Zwolle,Hardenberg,Zwolle,32
HSV ODIN 59,FC Lisse,Heemskerk,Lisse,29
HSV ODIN 59,Heerenveen,Heemskerk,Heerenveen,100
HV & CV Quick,De Graafschap,The Hague,Doetinchem,137
HV & CV Quick,Willem II,The Hague,Tilburg,79
HVV Te Werve,Ajax,Rijswijk,Amsterdam,55
Harkemase Boys,Dovo,Harkema,Veenendaal,135
Harkemase Boys,FC Volendam,Harkema,Volendam,105
Harkemase Boys,Groningen,Harkema,Groningen,30
Harkemase Boys,Waalwijk,Harkema,Waalwijk,182
Heerenveen,De Treffers,Heerenveen,Groesbeek,132
Heerenveen,FC OSS,Heerenveen,Oss,135
Heerenveen,FC Volendam,Heerenveen,Volendam,78
Heerenveen,Feyenoord,Heerenveen,Rotterdam,152
Heerenveen,GO Ahead Eagles,Heerenveen,Deventer,79
Heerenveen,Roda,Heerenveen,Kerkrade,234
