cup_name,financial_name,city
Vidago,None,Chaves
União Montemor,None,Montemor-o-Novo
Estudantes Africanos,None,Coimbra
Sesimbra,None,Sesimbra
Ovarense,None,Ovar
Macedo Cavaleiros,None,Macedo de Cavaleiros
Forjães SC,None,Esposende
Âncora Praia,None,Caminha
Pedroso,None,Vila Nova de Gaia
Guarda Desportiva,None,Guarda
GR Vigor Mocidade,None,Coimbra
União de Coimbra,None,Coimbra
Santa Cruz de Alvarenga,None,Arouca
Matamourisquense,None,Mação
Abrantes e Benfica,None,Abrantes
Desportos de Glória,None,Glória do Ribatejo
O Elvas,None,Elvas
Damaiense,None,Amadora
Imortal Albufeira,None,Albufeira
São Roque,None,"São Roque, São Miguel Island"
Alpendorada,None,Marco de Canaveses
Ribeirão,None,Vila Nova de Famalicão
FC Serpa,None,Serpa
CD Olivais e Moscavide,None,Lisbon
Moitense,None,Moita
Arronches e Benfica,None,Arronches
CF Os Belenenses,CF Os Belenenses,Lisbon
UD Rio Maior,None,Rio Maior
Comércio Indústria,None,Setúbal
Dumiense,None,Braga
Ribeira Brava,None,"Ribeira Brava, Madeira"
Os Marialvas,None,Cantanhede
UD da Serra,None,Marinha Grande
Pedrógão São Pedro,None,Penamacor
Lajense,None,"São Jorge, Azores"
Atlético Reguengos,None,Reguengos de Monsaraz
Vasco Gama VF do Campo,None,Vidigueira
Vila Caíz,None,Amarante
Monte Trigo,None,Portel
SC Paivense,None,Castelo de Paiva
Courense,None,Paredes de Coura
1º Maio Funchal,None,"Funchal, Madeira"
Recreativa de Lamelas,None,Castro Daire
