Year,Round,Stage,Team_name,Team_id,Opponent_name,Opponent_id,Team_win
2018,2nd Round,2.0,VVV Venlo,204,AZ Alkmaar,201,0.0
2018,2nd Round,2.0,Emmen,208,HSV ODIN 59,1245,0.0
2018,2nd Round,2.0,HSV ODIN 59,1245,Emmen,208,1.0
2018,2nd Round,2.0,Groene Ster,1236,Heerenveen,210,0.0
2018,2nd Round,2.0,Heerenveen,210,Groene Ster,1236,1.0
2018,2nd Round,2.0,Utrecht,207,ASWH,1254,1.0
2018,2nd Round,2.0,ASWH,1254,Utrecht,207,0.0
2018,2nd Round,2.0,Willem II,195,Spakenburg,1249,1.0
2018,2nd Round,2.0,Spakenburg,1249,Willem II,195,0.0
2018,2nd Round,2.0,Ajax,194,GO Ahead Eagles,410,1.0
2018,2nd Round,2.0,GO Ahead Eagles,410,Ajax,194,0.0
2018,2nd Round,2.0,NEC Nijmegen,413,Fortuna Sittard,205,0.0
2018,2nd Round,2.0,Fortuna Sittard,205,NEC Nijmegen,413,1.0
2018,2nd Round,2.0,Feyenoord,209,ADO Den Haag,198,1.0
2018,2nd Round,2.0,ADO Den Haag,198,Feyenoord,209,0.0
2018,8th Finals,3.0,Willem II,195,AFC Amsterdam,1252,1.0
2018,8th Finals,3.0,AFC Amsterdam,1252,Willem II,195,0.0
2018,8th Finals,3.0,Twente,415,Waalwijk,417,1.0
2018,8th Finals,3.0,Waalwijk,417,Twente,415,0.0
2018,8th Finals,3.0,AZ Alkmaar,201,PEC Zwolle,193,1.0
2018,8th Finals,3.0,PEC Zwolle,193,AZ Alkmaar,201,0.0
2018,8th Finals,3.0,HSV ODIN 59,1245,Heerenveen,210,0.0
2018,8th Finals,3.0,Heerenveen,210,HSV ODIN 59,1245,1.0
2018,8th Finals,3.0,Fortuna Sittard,205,Cambuur,420,1.0
2018,8th Finals,3.0,Cambuur,420,Fortuna Sittard,205,0.0
2018,8th Finals,3.0,Roda,414,Ajax,194,0.0
2018,8th Finals,3.0,Ajax,194,Roda,414,1.0
2018,8th Finals,3.0,Kozakken Boys,1242,Vitesse,200,0.0
2018,8th Finals,3.0,Vitesse,200,Kozakken Boys,1242,1.0
2018,8th Finals,3.0,Feyenoord,209,Utrecht,207,1.0
2018,8th Finals,3.0,Utrecht,207,Feyenoord,209,0.0
2018,Quarter-finals,4.0,AZ Alkmaar,201,Vitesse,200,1.0
2018,Quarter-finals,4.0,Vitesse,200,AZ Alkmaar,201,0.0
2018,Quarter-finals,4.0,Twente,415,Willem II,195,0.0
2018,Quarter-finals,4.0,Willem II,195,Twente,415,1.0
2018,Quarter-finals,4.0,Feyenoord,209,Fortuna Sittard,205,1.0
2018,Quarter-finals,4.0,Fortuna Sittard,205,Feyenoord,209,0.0
2018,Quarter-finals,4.0,Ajax,194,Heerenveen,210,1.0
2018,Quarter-finals,4.0,Heerenveen,210,Ajax,194,0.0
2018,Semi-finals,5.0,Feyenoord,209,Ajax,194,0.0
2018,Semi-finals,5.0,Ajax,194,Feyenoord,209,1.0
2018,Semi-finals,5.0,Willem II,195,AZ Alkmaar,201,1.0
2018,Semi-finals,5.0,AZ Alkmaar,201,Willem II,195,0.0
2018,Final,6.0,Willem II,195,Ajax,194,0.0
2018,Final,6.0,Ajax,194,Willem II,195,1.0
2018,1st Preliminary Round,,ASWH,1254,MASV,3896,1.0
2018,1st Preliminary Round,,MASV,3896,ASWH,1254,0.0
2018,1st Preliminary Round,,FC 's-Gravenzande,3890,HV & CV Quick,3894,1.0
