Year,Round,Stage,Team_name,Team_id,Opponent_name,Opponent_id,Team_win,Opponent_rank_prev,Team_rank_prev,Team_rank,Rank_diff,const,Team_max_stage
2016,1st Round,1,PEC Zwolle,193,DVS 33 Ermelo,1244,1.0,75.0,75.0,,0.0,1,3.0
2016,1st Round,1,Excelsior,196,Heracles,206,0.0,75.0,75.0,,0.0,1,2.0
2016,1st Round,1,Heracles,206,Excelsior,196,1.0,75.0,75.0,,0.0,1,3.0
2016,1st Round,1,FC Lienden,1283,AZ Alkmaar,201,0.0,75.0,75.0,,0.0,1,1.0
2016,1st Round,1,AZ Alkmaar,201,FC Lienden,1283,1.0,75.0,75.0,,0.0,1,6.0
2016,1st Round,1,Katwijk,1237,Harkemase Boys,1258,1.0,75.0,75.0,,0.0,1,2.0
2016,1st Round,1,Harkemase Boys,1258,Katwijk,1237,0.0,75.0,75.0,,0.0,1,1.0
2016,1st Round,1,Koninklijke HFC,1246,OJC Rosmalen,1241,1.0,75.0,75.0,,0.0,1,2.0
2016,1st Round,1,OJC Rosmalen,1241,Koninklijke HFC,1246,0.0,75.0,75.0,,0.0,1,1.0
2016,1st Round,1,NEC Nijmegen,413,ADO Den Haag,198,0.0,75.0,75.0,,0.0,1,1.0
2016,1st Round,1,ADO Den Haag,198,NEC Nijmegen,413,1.0,75.0,75.0,,0.0,1,3.0
2016,1st Round,1,Spakenburg,1249,Fortuna Sittard,205,1.0,75.0,75.0,,0.0,1,2.0
2016,1st Round,1,Fortuna Sittard,205,Spakenburg,1249,0.0,75.0,75.0,,0.0,1,1.0
2016,1st Round,1,Sparta Rotterdam,426,Dordrecht,409,1.0,75.0,75.0,,0.0,1,5.0
2016,1st Round,1,Dordrecht,409,Sparta Rotterdam,426,0.0,75.0,75.0,,0.0,1,1.0
2016,1st Round,1,UNA,1284,Huizen,1290,1.0,75.0,75.0,,0.0,1,2.0
2016,1st Round,1,Huizen,1290,UNA,1284,0.0,75.0,75.0,,0.0,1,1.0
2016,1st Round,1,PSV Eindhoven,197,Roda,414,1.0,75.0,75.0,,0.0,1,2.0
2016,1st Round,1,Roda,414,PSV Eindhoven,197,0.0,75.0,75.0,,0.0,1,1.0
2016,1st Round,1,Dongen,1285,GO Ahead Eagles,410,0.0,75.0,75.0,,0.0,1,1.0
2016,1st Round,1,GO Ahead Eagles,410,Dongen,1285,1.0,75.0,75.0,,0.0,1,2.0
2016,1st Round,1,Heerenveen,210,De Graafschap,199,1.0,75.0,75.0,,0.0,1,4.0
2016,1st Round,1,De Graafschap,199,Heerenveen,210,0.0,75.0,75.0,,0.0,1,1.0
2016,1st Round,1,Barendrecht,1271,Excelsior,196,0.0,75.0,75.0,,0.0,1,1.0
2016,1st Round,1,Excelsior,196,Barendrecht,1271,1.0,75.0,75.0,,0.0,1,2.0
2016,1st Round,1,Den Bosch,421,FC Eindhoven,422,0.0,75.0,75.0,,0.0,1,1.0
2016,1st Round,1,FC Eindhoven,422,Den Bosch,421,1.0,75.0,75.0,,0.0,1,2.0
2016,1st Round,1,EVV,1286,Waalwijk,417,0.0,75.0,75.0,,0.0,1,1.0
2016,1st Round,1,Waalwijk,417,EVV,1286,1.0,75.0,75.0,,0.0,1,2.0
2016,1st Round,1,FC Volendam,416,MVV,412,1.0,75.0,75.0,,0.0,1,4.0
2016,1st Round,1,MVV,412,FC Volendam,416,0.0,75.0,75.0,,0.0,1,1.0
2016,1st Round,1,HHC,1278,Jodan Boys,1289,0.0,75.0,75.0,,0.0,1,1.0
2016,1st Round,1,Jodan Boys,1289,HHC,1278,1.0,75.0,75.0,,0.0,1,3.0
2016,1st Round,1,Ijsselmeervogels,1280,Achilles 29,806,1.0,75.0,75.0,,0.0,1,3.0
2016,1st Round,1,Achilles 29,806,Ijsselmeervogels,1280,0.0,75.0,75.0,,0.0,1,1.0
2016,1st Round,1,Kozakken Boys,1242,Helmond Sport,424,1.0,75.0,75.0,,0.0,1,2.0
2016,1st Round,1,Helmond Sport,424,Kozakken Boys,1242,0.0,75.0,75.0,,0.0,1,1.0
2016,1st Round,1,JVC Cuijk,1287,Telstar,427,0.0,75.0,75.0,,0.0,1,1.0
2016,1st Round,1,Telstar,427,JVC Cuijk,1287,1.0,75.0,75.0,,0.0,1,2.0
2016,1st Round,1,NAC Breda,203,VVV Venlo,204,0.0,75.0,75.0,,0.0,1,1.0
2016,1st Round,1,VVV Venlo,204,NAC Breda,203,1.0,75.0,75.0,,0.0,1,2.0
2016,1st Round,1,Capelle,1270,Groningen,202,0.0,75.0,75.0,,0.0,1,1.0
2016,1st Round,1,Groningen,202,Capelle,1270,1.0,75.0,75.0,,0.0,1,2.0
2016,1st Round,1,Rijnsburgse Boys,1248,Almere City FC,419,0.0,75.0,75.0,,0.0,1,1.0
2016,1st Round,1,Almere City FC,419,Rijnsburgse Boys,1248,1.0,75.0,75.0,,0.0,1,2.0
2016,1st Round,1,Rijnvogels,1288,Cambuur,420,0.0,75.0,75.0,,0.0,1,1.0
2016,1st Round,1,Cambuur,420,Rijnvogels,1288,1.0,75.0,75.0,,0.0,1,5.0
2016,1st Round,1,SVV Scheveningen,1250,Emmen,208,0.0,75.0,75.0,,0.0,1,1.0
2016,1st Round,1,Emmen,208,SVV Scheveningen,1250,1.0,75.0,75.0,,0.0,1,2.0
2017,Final,6,AZ Alkmaar,201,Feyenoord,209,0.0,75.0,75.0,3.0,0.0,1,6.0
2017,Final,6,Feyenoord,209,AZ Alkmaar,201,1.0,75.0,75.0,4.0,0.0,1,6.0
2017,Semi-finals,5,Feyenoord,209,Willem II,195,1.0,75.0,75.0,4.0,0.0,1,6.0
2017,Semi-finals,5,Willem II,195,Feyenoord,209,0.0,75.0,75.0,14.0,0.0,1,5.0
2017,Semi-finals,5,AZ Alkmaar,201,Twente,415,1.0,75.0,75.0,3.0,0.0,1,6.0
2017,Semi-finals,5,Twente,415,AZ Alkmaar,201,0.0,75.0,75.0,17.0,0.0,1,5.0
2017,Quarter-finals,4,Willem II,195,Roda,414,1.0,75.0,75.0,14.0,0.0,1,5.0
2017,Quarter-finals,4,Roda,414,Willem II,195,0.0,75.0,75.0,16.0,0.0,1,4.0
2017,Quarter-finals,4,Feyenoord,209,PSV Eindhoven,197,1.0,75.0,75.0,4.0,0.0,1,6.0
2017,Quarter-finals,4,PSV Eindhoven,197,Feyenoord,209,0.0,75.0,75.0,1.0,0.0,1,4.0
2017,Quarter-finals,4,AZ Alkmaar,201,PEC Zwolle,193,1.0,75.0,75.0,3.0,0.0,1,6.0
2017,Quarter-finals,4,PEC Zwolle,193,AZ Alkmaar,201,0.0,75.0,75.0,5.0,0.0,1,4.0
2017,Quarter-finals,4,Twente,415,Cambuur,420,1.0,75.0,75.0,17.0,0.0,1,5.0
2017,Quarter-finals,4,Cambuur,420,Twente,415,0.0,75.0,75.0,30.0,0.0,1,4.0
2017,8th Finals,3,Feyenoord,209,Heracles,206,1.0,75.0,75.0,4.0,0.0,1,6.0
2017,8th Finals,3,Heracles,206,Feyenoord,209,0.0,75.0,75.0,11.0,0.0,1,3.0
2017,8th Finals,3,Vvsb,1251,Roda,414,0.0,75.0,75.0,44.0,0.0,1,3.0
2017,8th Finals,3,Roda,414,Vvsb,1251,1.0,75.0,75.0,16.0,0.0,1,4.0
2017,8th Finals,3,Twente,415,Ajax,194,1.0,75.0,75.0,17.0,0.0,1,5.0
2017,8th Finals,3,Ajax,194,Twente,415,0.0,75.0,75.0,2.0,0.0,1,3.0
2017,8th Finals,3,Fortuna Sittard,205,AZ Alkmaar,201,0.0,75.0,75.0,21.0,0.0,1,3.0
2017,8th Finals,3,AZ Alkmaar,201,Fortuna Sittard,205,1.0,75.0,75.0,3.0,0.0,1,6.0
2017,8th Finals,3,PSV Eindhoven,197,VVV Venlo,204,1.0,75.0,75.0,1.0,0.0,1,4.0
2017,8th Finals,3,VVV Venlo,204,PSV Eindhoven,197,0.0,75.0,75.0,10.0,0.0,1,3.0
2017,8th Finals,3,Willem II,195,Waalwijk,417,1.0,75.0,75.0,14.0,0.0,1,5.0
2017,8th Finals,3,Waalwijk,417,Willem II,195,0.0,75.0,75.0,36.0,0.0,1,3.0
2017,8th Finals,3,Cambuur,420,GVVV Veenendaal,1261,1.0,75.0,75.0,30.0,0.0,1,4.0
2017,8th Finals,3,GVVV Veenendaal,1261,Cambuur,420,0.0,75.0,75.0,42.0,0.0,1,3.0
2017,8th Finals,3,PEC Zwolle,193,NEC Nijmegen,413,1.0,75.0,75.0,5.0,0.0,1,4.0
2017,8th Finals,3,NEC Nijmegen,413,PEC Zwolle,193,0.0,75.0,75.0,19.0,0.0,1,3.0
2017,2nd Round,2,Almere City FC,419,AZ Alkmaar,201,0.0,75.0,75.0,26.0,0.0,1,2.0
2017,2nd Round,2,AZ Alkmaar,201,Almere City FC,419,1.0,75.0,75.0,3.0,0.0,1,6.0
2017,2nd Round,2,FC Volendam,416,PSV Eindhoven,197,0.0,75.0,75.0,33.0,0.0,1,2.0
2017,2nd Round,2,PSV Eindhoven,197,FC Volendam,416,1.0,75.0,75.0,1.0,0.0,1,4.0
2017,2nd Round,2,Feyenoord,209,Avv Swift,1269,1.0,75.0,75.0,4.0,0.0,1,6.0
2017,2nd Round,2,Avv Swift,1269,Feyenoord,209,0.0,75.0,75.0,,0.0,1,2.0
2017,2nd Round,2,Roda,414,Groningen,202,1.0,75.0,75.0,16.0,0.0,1,4.0
2017,2nd Round,2,Groningen,202,Roda,414,0.0,75.0,75.0,13.0,0.0,1,2.0
2017,2nd Round,2,Willem II,195,Heerenveen,210,1.0,75.0,75.0,14.0,0.0,1,5.0
2017,2nd Round,2,Heerenveen,210,Willem II,195,0.0,75.0,75.0,9.0,0.0,1,2.0
2017,2nd Round,2,ASV De Dijk,1260,Ajax,194,0.0,75.0,75.0,53.0,0.0,1,2.0
2017,2nd Round,2,Ajax,194,ASV De Dijk,1260,1.0,75.0,75.0,2.0,0.0,1,3.0
2017,2nd Round,2,Heracles,206,Hoek,1276,1.0,75.0,75.0,11.0,0.0,1,3.0
2017,2nd Round,2,Hoek,1276,Heracles,206,0.0,75.0,75.0,,0.0,1,2.0
2017,2nd Round,2,VVV Venlo,204,Utrecht,207,1.0,75.0,75.0,10.0,0.0,1,3.0
2017,2nd Round,2,Utrecht,207,VVV Venlo,204,0.0,75.0,75.0,6.0,0.0,1,2.0
2017,2nd Round,2,Twente,415,FC Eindhoven,422,1.0,75.0,75.0,17.0,0.0,1,5.0
2017,2nd Round,2,FC Eindhoven,422,Twente,415,0.0,75.0,75.0,31.0,0.0,1,2.0
2017,2nd Round,2,Den Bosch,421,Cambuur,420,0.0,75.0,75.0,28.0,0.0,1,2.0
2017,2nd Round,2,Cambuur,420,Den Bosch,421,1.0,75.0,75.0,30.0,0.0,1,4.0
