team_name,opponent_name,team_city,opponent_city,distance
FC Astoria Walldorf,SV Darmstadt 98,Walldorf,Darmstadt,63
FC Astoria Walldorf,Vfl Bochum,Walldorf,Bochum,264
FC Augsburg,Bayern Munich,Augsburg,Munich,52
FC Augsburg,Borussia Dortmund,Augsburg,Dortmund,428
FC Augsburg,FSV Mainz 05,Augsburg,Mainz,265
FC Heidenheim,Bayer Leverkusen,Heidenheim an der Brenz,Leverkusen,346
FC Heidenheim,Borussia Monchengladbach,Heidenheim an der Brenz,Mönchengladbach,388
FC Heidenheim,Eintracht Frankfurt,Heidenheim an der Brenz,Frankfurt am Main,197
FC Heidenheim,Hertha Berlin,Heidenheim an der Brenz,Berlin,481
FC Heidenheim,TSV 1860 Munich,Heidenheim an der Brenz,Munich,122
FC Heidenheim,Union Berlin,Heidenheim an der Brenz,Berlin,486
FC Heidenheim,Vfl Bochum,Heidenheim an der Brenz,Bochum,377
FC Heidenheim,Werder Bremen,Heidenheim an der Brenz,Bremen,498
FC Ingolstadt 04,Erzgebirge AUE,Ingolstadt,Aue,224
FC Ingolstadt 04,FC Nurnberg,Ingolstadt,Nuremberg,78
FC Ingolstadt 04,Fortuna Dusseldorf,Ingolstadt,Düsseldorf,429
FC Ingolstadt 04,SV Darmstadt 98,Ingolstadt,Darmstadt,236
FC Kaiserslautern,1899 Hoffenheim,Kaiserslautern,Sinsheim,80
FC Kaiserslautern,Borussia Monchengladbach,Kaiserslautern,Mönchengladbach,216
FC Kaiserslautern,FC Nurnberg,Kaiserslautern,Nuremberg,244
FC Kaiserslautern,FSV Mainz 05,Kaiserslautern,Mainz,71
FC Kaiserslautern,Fortuna Dusseldorf,Kaiserslautern,Düsseldorf,210
FC Kaiserslautern,Jahn Regensburg,Kaiserslautern,Regensburg,320
FC Kaiserslautern,SC Freiburg,Kaiserslautern,Freiburg,162
FC Kaiserslautern,SpVgg Greuther Furth,Kaiserslautern,Fürth,234
FC Kaiserslautern,VfB Stuttgart,Kaiserslautern,Stuttgart,128
FC Lok Stendal,Arminia Bielefeld,Stendal,Bielefeld,237
FC Magdeburg,Bayer Leverkusen,Magdeburg,Leverkusen,345
FC Magdeburg,Borussia Dortmund,Magdeburg,Dortmund,303
FC Magdeburg,Eintracht Frankfurt,Magdeburg,Frankfurt am Main,316
FC Magdeburg,Energie Cottbus,Magdeburg,Cottbus,190
FC Magdeburg,FC Augsburg,Magdeburg,Augsburg,422
FC Magdeburg,FC St. Pauli,Magdeburg,Hamburg,194
FC Magdeburg,SC Freiburg,Magdeburg,Freiburg,533
FC Magdeburg,SV Darmstadt 98,Magdeburg,Darmstadt,327
FC Nottingen,Bayern Munich,Remchingen,Munich,234
FC Nottingen,FC Schalke 04,Remchingen,Gelsenkirchen,306
FC Nottingen,Hannover 96,Remchingen,Hannover,393
FC Nottingen,Vfl Bochum,Remchingen,Bochum,302
FC Nurnberg,FC Schalke 04,Nuremberg,Gelsenkirchen,368
FC Nurnberg,Fortuna Dusseldorf,Nuremberg,Düsseldorf,366
FC Nurnberg,Hertha Berlin,Nuremberg,Berlin,373
FC Nurnberg,RB Leipzig,Nuremberg,Leipzig,229
FC Nurnberg,SpVgg Greuther Furth,Nuremberg,Fürth,12
FC Nurnberg,VfB Stuttgart,Nuremberg,Stuttgart,156
FC Nurnberg,VfL Wolfsburg,Nuremberg,Wolfsburg,333
FC Rielasingen-Arlen,Borussia Dortmund,Rielasingen-Worblingen,Dortmund,430
FC Rielasingen-Arlen,Holstein Kiel,Rielasingen-Worblingen,Kiel,742
FC Saarbrucken,1.FC Köln,Saarbrücken,Cologne,186
FC Saarbrucken,Bayer Leverkusen,Saarbrücken,Leverkusen,199
FC Saarbrucken,Borussia Dortmund,Saarbrücken,Dortmund,251
FC Saarbrucken,Erzgebirge AUE,Saarbrücken,Aue,437
FC Saarbrucken,FC Schalke 04,Saarbrücken,Gelsenkirchen,253
FC Saarbrucken,Fortuna Dusseldorf,Saarbrücken,Düsseldorf,222
FC Saarbrucken,Jahn Regensburg,Saarbrücken,Regensburg,374
FC Saarbrucken,Karlsruher SC,Saarbrücken,Karlsruhe,106
FC Saarbrucken,SC Paderborn 07,Saarbrücken,Paderborn,303
FC Saarbrucken,Union Berlin,Saarbrücken,Berlin,585
FC Saarbrucken,Werder Bremen,Saarbrücken,Bremen,445
FC Schalke 04,1.FC Köln,Gelsenkirchen,Cologne,68
FC Schalke 04,1899 Hoffenheim,Gelsenkirchen,Sinsheim,278
FC Schalke 04,Eintracht Frankfurt,Gelsenkirchen,Frankfurt am Main,187
FC Schalke 04,FSV Mainz 05,Gelsenkirchen,Mainz,187
FC Schalke 04,Fortuna Dusseldorf,Gelsenkirchen,Düsseldorf,37
FC Schalke 04,Hertha Berlin,Gelsenkirchen,Berlin,436
FC Schalke 04,SV Sandhausen,Gelsenkirchen,Sandhausen,266
FC Schalke 04,VfL Wolfsburg,Gelsenkirchen,Wolfsburg,274
FC Schalke 04,Werder Bremen,Gelsenkirchen,Bremen,210
FC Schweinfurt 05,Eintracht Frankfurt,Schweinfurt,Frankfurt am Main,123
FC Schweinfurt 05,FC Schalke 04,Schweinfurt,Gelsenkirchen,275
FC Schweinfurt 05,SV Sandhausen,Schweinfurt,Sandhausen,139
FC St. Pauli,Borussia Dortmund,Hamburg,Dortmund,290
FC St. Pauli,Borussia Monchengladbach,Hamburg,Mönchengladbach,360
FC St. Pauli,Eintracht Frankfurt,Hamburg,Frankfurt am Main,399
FC St. Pauli,Hertha Berlin,Hamburg,Berlin,248
FC Viktoria Koln,1899 Hoffenheim,Cologne,Sinsheim,223
FC Viktoria Koln,Bayer Leverkusen,Cologne,Leverkusen,14
FC Viktoria Koln,Bayern Munich,Cologne,Munich,445
FC Viktoria Koln,FC Nurnberg,Cologne,Nuremberg,335
FC Viktoria Koln,Hertha Berlin,Cologne,Berlin,465
FC Viktoria Koln,RB Leipzig,Cologne,Leipzig,375
FC Viktoria Koln,Union Berlin,Cologne,Berlin,484
FC Wurzburger Kickers,1899 Hoffenheim,Würzburg,Sinsheim,98
FC Wurzburger Kickers,Eintracht Braunschweig,Würzburg,Braunschweig,281
FC Wurzburger Kickers,Fortuna Dusseldorf,Würzburg,Düsseldorf,273
FC Wurzburger Kickers,Hannover 96,Würzburg,Hannover,288
FC Wurzburger Kickers,SC Freiburg,Würzburg,Freiburg,250
FC Wurzburger Kickers,TSV 1860 Munich,Würzburg,Munich,223
FC Wurzburger Kickers,Werder Bremen,Würzburg,Bremen,372
FSV Frankfurt,FC Ingolstadt 04,Frankfurt am Main,Ingolstadt,248
FSV Frankfurt,Hertha Berlin,Frankfurt am Main,Berlin,412
FSV Mainz 05,1.FC Köln,Mainz,Cologne,139
FSV Mainz 05,Arminia Bielefeld,Mainz,Bielefeld,226
FSV Mainz 05,Bayern Munich,Mainz,Munich,314
FSV Mainz 05,Erzgebirge AUE,Mainz,Aue,324
FSV Mainz 05,SC Freiburg,Mainz,Freiburg,225
FSV Mainz 05,TSV 1860 Munich,Mainz,Munich,322
FSV Mainz 05,VfB Stuttgart,Mainz,Stuttgart,151
FSV Mainz 05,Vfl Bochum,Mainz,Bochum,182
FSV Zwickau,Hamburger SV,Zwickau,Hamburg,367
FT Braunschweig,1.FC Köln,Braunschweig,Cologne,293
FV Engers 07,Arminia Bielefeld,Neuwied,Bielefeld,192
FV Engers 07,Vfl Bochum,Neuwied,Bochum,121
FV Ravensburg,FC Augsburg,Ravensburg,Augsburg,116
Falkensee-Finkenkrug,VfB Stuttgart,Falkensee,Stuttgart,499
Fortuna Dusseldorf,Borussia Dortmund,Düsseldorf,Dortmund,48
Fortuna Dusseldorf,Borussia Monchengladbach,Düsseldorf,Mönchengladbach,30
Fortuna Dusseldorf,Erzgebirge AUE,Düsseldorf,Aue,420
Fortuna Dusseldorf,TSV 1860 Munich,Düsseldorf,Munich,488
Fortuna Koln,FSV Mainz 05,Cologne,Mainz,137
Germania Egestorf,1899 Hoffenheim,Egestorf,Sinsheim,445
Germania Halberstadt,SC Freiburg,Halberstadt,Freiburg,490
Germania Halberstadt,Union Berlin,Halberstadt,Berlin,183
Germania Windeck,1899 Hoffenheim,Windeck,Sinsheim,194
Greifswalder FC,FC Augsburg,Greifswald,Augsburg,660
