stage,causal_effect,std_error,p_value,r_squared,f_stat,f_p_value,grid_id,instrument,control_vars,significant
6,-7.516847013487031,2.4621799041030856,0.00719410932524201,0.4388380481382643,4.007647379142033,0.018102709853651665,145,rank_diff,"['team_size', 'foreigners', 'team_home']",False
1,-26.09479302914071,2.430718326054303,7.573684566025627e-24,0.6633703011862698,36.866064835915516,2.5493621228471515e-26,146,rank_diff,"['team_size', 'foreigners', 'extra_time']",True
2,-20.354124267513914,3.276974480442573,1.9785192342774717e-09,0.5735473310898933,12.53945985535482,2.2663192715305012e-09,146,rank_diff,"['team_size', 'foreigners', 'extra_time']",True
3,-17.130400324893007,4.996548735255607,0.0007975907098796926,0.6035658108221212,4.362677658724461,0.0023510319111096187,146,rank_diff,"['team_size', 'foreigners', 'extra_time']",False
4,-16.43102264046371,5.260773384082818,0.0026554623753843286,0.5459563922256234,5.288105984633769,0.000934153919280167,146,rank_diff,"['team_size', 'foreigners', 'extra_time']",False
5,-9.845070878778074,3.584520705968183,0.009803812177524324,0.3290155532556318,3.267362323640744,0.023525769851733973,146,rank_diff,"['team_size', 'foreigners', 'extra_time']",False
6,-7.311774126337493,2.316575328247275,0.005764636604815975,0.46023180513969775,1.7069130895187583,0.19481839368513515,146,rank_diff,"['team_size', 'foreigners', 'extra_time']",False
1,-35.53915570997526,1.977463834730542,1.283485038640484e-53,0.6906798825744591,38.41037186636017,2.7503831660582028e-27,147,rank_diff,"['team_size', 'mean_age', 'total_value']",True
2,-26.61637715552665,3.317695268078281,3.177878451018541e-14,0.5837642088744233,15.451892745953009,2.1472547151033856e-11,147,rank_diff,"['team_size', 'mean_age', 'total_value']",True
3,-30.400049945599747,6.085401649000567,1.720692208554107e-06,0.5649921695319728,6.500395239972364,7.924983569890663e-05,147,rank_diff,"['team_size', 'mean_age', 'total_value']",False
4,-16.95623845219874,5.376383311514271,0.0024257425252844646,0.5541427871082792,6.566516419521952,0.00016419553413302222,147,rank_diff,"['team_size', 'mean_age', 'total_value']",False
5,-6.1675772621792575,3.979735484679837,0.13103726878498095,0.6493586030470795,5.069086743410788,0.0028002958014397054,147,rank_diff,"['team_size', 'mean_age', 'total_value']",False
6,-1.016594131383405,3.871889973925532,0.7960469024857073,0.7499162632079585,2.0231537133953377,0.1366790436023058,147,rank_diff,"['team_size', 'mean_age', 'total_value']",False
1,-37.7275023370319,2.497961291030634,2.9596166401196887e-41,0.5378311178679622,36.60882769712301,3.7025851129232385e-26,148,rank_diff,"['team_size', 'mean_age', 'distance']",True
2,-33.72186374691798,3.2811753073772816,3.9783734591760156e-21,0.29787487746547403,13.997625199328608,2.1628243224373935e-10,148,rank_diff,"['team_size', 'mean_age', 'distance']",True
3,-34.8850863432577,4.966984365261932,8.625517510412067e-11,0.26761610983661455,5.4036471770082395,0.0004474690627155904,148,rank_diff,"['team_size', 'mean_age', 'distance']",False
4,-23.85683474108953,5.593981835657203,6.51949442911886e-05,0.24547591666851998,4.493167290181943,0.0028503182724916396,148,rank_diff,"['team_size', 'mean_age', 'distance']",False
5,-11.404955035457249,3.563943639862903,0.00309575426893258,0.3002297024464964,4.95642262263266,0.00317835648714059,148,rank_diff,"['team_size', 'mean_age', 'distance']",False
6,-9.437068839096217,2.7792541564626134,0.003440829476415575,0.4734198382505679,4.371594992066625,0.012998725500980225,148,rank_diff,"['team_size', 'mean_age', 'distance']",False
1,-20.6493085786105,3.303318391728776,1.0280657473810432e-09,0.5651097356739441,36.9932993722811,2.1201771644580285e-26,149,rank_diff,"['team_size', 'mean_age', 'team_home']",True
2,-32.68764286578126,3.265243123207909,2.871480275544917e-20,0.2983096588065588,14.050757311885036,1.9866268806649753e-10,149,rank_diff,"['team_size', 'mean_age', 'team_home']",True
3,-32.0487605679253,4.789812259035965,4.916058003154306e-10,0.2691260004020397,5.901831077177875,0.00020328828683578666,149,rank_diff,"['team_size', 'mean_age', 'team_home']",False
4,-23.18890781900955,5.450824855020293,6.764615939571029e-05,0.24539835263688314,4.360282369786126,0.0034427724002137395,149,rank_diff,"['team_size', 'mean_age', 'team_home']",False
5,-11.812408347373928,3.672470412552214,0.0029656065512207457,0.3032887848225686,4.402158100222321,0.0060007984452691045,149,rank_diff,"['team_size', 'mean_age', 'team_home']",False
6,-9.050252598943626,2.6900077572022916,0.003680631072199944,0.45246080829127033,3.868767059665767,0.020604819281188,149,rank_diff,"['team_size', 'mean_age', 'team_home']",False
1,-43.43243364812754,2.044889986977546,5.7990346753246515e-68,0.528614012289724,36.56382600912239,3.9526460867785446e-26,150,rank_diff,"['team_size', 'mean_age', 'extra_time']",True
2,-35.46038062293483,3.389033986707584,9.89765040382514e-22,0.3042141843655072,12.887923908797081,1.2888182064439609e-09,150,rank_diff,"['team_size', 'mean_age', 'extra_time']",True
3,-38.69444440225283,5.337698104043304,2.5874904345048894e-11,0.2781386774332174,4.265117509245644,0.002747658490633692,150,rank_diff,"['team_size', 'mean_age', 'extra_time']",False
4,-22.432304799841898,4.978537021383168,2.768249338309133e-05,0.24547051751010718,4.481550781498111,0.002897689201389229,150,rank_diff,"['team_size', 'mean_age', 'extra_time']",False
5,-11.685866031111694,3.613327264884498,0.0028314029578083177,0.3083600083276937,3.4251147186154527,0.0193573038312479,150,rank_diff,"['team_size', 'mean_age', 'extra_time']",False
6,-9.166967566149147,2.6214359322737306,0.0027623939216347908,0.491737028561708,1.8660289788680915,0.16286177957774134,150,rank_diff,"['team_size', 'mean_age', 'extra_time']",False
1,-30.273711720732752,2.291490700949872,2.0129209029875453e-33,0.6978407393151279,38.45449737796215,2.5817314993674712e-27,151,rank_diff,"['team_size', 'total_value', 'distance']",True
2,-24.74482727280566,3.13799041706405,7.78654989711725e-14,0.5836795293292912,16.007364422919938,8.965191172416758e-12,151,rank_diff,"['team_size', 'total_value', 'distance']",True
3,-25.810764845527956,5.446534449762504,5.219453161732226e-06,0.565476507696256,7.424721730740128,1.8778902157648687e-05,151,rank_diff,"['team_size', 'total_value', 'distance']",False
4,-18.847287601191123,6.361119134599202,0.004234478529052289,0.5507340899091281,6.314593774296542,0.00022999460944478885,151,rank_diff,"['team_size', 'total_value', 'distance']",False
