stage,2sls_iv,std_error,p_value,r_squared,f_stat,f_p_value,causal_effect,grid_id,instrument,control_vars,significant
5,-1.112920591300991,1.1304901152127127,0.33251175091541063,0.25217602167052744,2.8914155185839134,0.029560606349763506,-0.5484800345352127,139,team_better,"['foreigners', 'team_home', 'extra_time', 'next_fixture_days']",False
6,1.297845865569321,1.332917224937528,0.3467356552958242,0.11756181099158147,4.860971640713453,0.008713281686696588,0.6396166543533072,139,team_better,"['foreigners', 'team_home', 'extra_time', 'next_fixture_days']",False
1,-18.230659401675187,3.7252161802323154,1.4288033372467487e-06,0.08231416119536272,21.077226585980466,9.542212658966476e-19,-8.984605708967623,140,team_better,"['mean_age', 'total_value', 'distance', 'team_home']",True
2,-1.8464000973055512,0.9632722786578698,0.056322735865563606,0.027957764052341405,15.67684770169656,1.5300736013765152e-13,-0.909960330549836,140,team_better,"['mean_age', 'total_value', 'distance', 'team_home']",True
3,-0.36626593235106036,1.280152998365692,0.7752190273012822,0.03499993792927514,8.299826941052416,6.892211701890992e-07,-0.18050663523993563,140,team_better,"['mean_age', 'total_value', 'distance', 'team_home']",False
4,-1.6139091525885323,1.222807934733292,0.19151848390456683,0.042109745512085794,9.909959219946188,4.471187818746644e-07,-0.7953819478833339,140,team_better,"['mean_age', 'total_value', 'distance', 'team_home']",False
5,-2.8341358707095017,3.5098420649545132,0.4255413111637044,0.23358991914411964,4.4639114442812655,0.0035304618905526814,-1.3967456010739085,140,team_better,"['mean_age', 'total_value', 'distance', 'team_home']",False
6,0.7610766999655436,2.017250257662355,0.7116199936047929,0.10738284129702402,4.94668697659934,0.008123045022525671,0.3750810057284231,140,team_better,"['mean_age', 'total_value', 'distance', 'team_home']",False
1,-0.06706489092975615,1.3260411499658378,0.9596888403035752,0.027790551967226462,21.074916599981915,9.58484167981232e-19,-0.03305155280688369,141,team_better,"['mean_age', 'total_value', 'distance', 'extra_time']",False
2,-1.454911928090056,0.9579358718948131,0.12998753734718504,0.01768251286339384,15.644535756086489,1.625090162320343e-13,-0.7170234343779063,141,team_better,"['mean_age', 'total_value', 'distance', 'extra_time']",False
