stage,2sls_iv,std_error,p_value,r_squared,f_stat,f_p_value,causal_effect,grid_id,instrument,control_vars,significant
1,0.771398834263919,0.7389815331277044,0.2971662848654675,0.007319867758680987,22.585767847636983,7.283618184796835e-17,0.38016805741989357,72,team_better,"['mean_age', 'team_home', 'extra_time']",False
2,0.17182924181468953,0.17900189956301288,0.3379494139458462,0.0214027324362962,18.13110658755793,3.325136840996058e-13,0.08468250944526881,72,team_better,"['mean_age', 'team_home', 'extra_time']",False
3,-0.2255164060014071,0.24730547031135014,0.3633919968699204,0.0290705871471445,9.596827752574445,6.907512494772504e-07,-0.11114112463973301,72,team_better,"['mean_age', 'team_home', 'extra_time']",False
4,0.8166135978043487,0.2468447915000122,0.001522912032858304,0.18660941264703146,11.864743882018896,2.544696014929145e-07,0.4024512241273818,72,team_better,"['mean_age', 'team_home', 'extra_time']",True
5,0.1410680199553629,0.4558013700499412,0.7589517895447192,0.10928502667164497,3.8402594622956405,0.011676445656189985,0.06952247362633787,72,team_better,"['mean_age', 'team_home', 'extra_time']",False
6,0.46782483002923475,0.5687064510500701,0.42361338053975284,0.05225525047323332,6.781277819396478,0.002524928837200284,0.23055785016153846,72,team_better,"['mean_age', 'team_home', 'extra_time']",False
1,0.752675074604968,0.724433230865037,0.2994286680884325,0.007233191927553562,22.595121874996526,7.175328362574088e-17,0.37094043738604604,73,team_better,"['mean_age', 'team_home', 'next_fixture_days']",False
2,0.20835377132838492,0.179218575372452,0.2460313706801054,0.036232560566483496,18.039504828634687,3.8272312469857157e-13,0.10268287296234214,73,team_better,"['mean_age', 'team_home', 'next_fixture_days']",False
3,-0.19812838784331013,0.2514685625875002,0.4320957494834786,0.029962718039098557,9.82796268267006,4.895090891876783e-07,-0.09764350292025006,73,team_better,"['mean_age', 'team_home', 'next_fixture_days']",False
4,0.7768349897558797,0.25438418874169527,0.0032566110234525567,0.1418168099433056,11.808897147519856,2.708748745661055e-07,0.38284715490023036,73,team_better,"['mean_age', 'team_home', 'next_fixture_days']",True
5,0.1699666390145962,0.47044384609345147,0.7202572245955352,0.06301824154491742,3.877927203914372,0.011159340304147265,0.0837645639457374,73,team_better,"['mean_age', 'team_home', 'next_fixture_days']",False
6,0.3858808288453099,0.5417044945744537,0.48718411207252843,0.05309969261617453,7.595178009360282,0.001492163270113652,0.19017343374349657,73,team_better,"['mean_age', 'team_home', 'next_fixture_days']",False
1,-0.1581749348164883,0.16526651545680998,0.339089970682094,0.0028243092731956576,22.640698731585474,6.670384655884745e-17,-0.07795326493989659,74,team_better,"['mean_age', 'extra_time', 'next_fixture_days']",False
2,0.28606657433221144,0.18430861960190276,0.1218081236797526,0.034987598586309954,16.97214673894371,1.9895866548294333e-12,0.1409820303402644,74,team_better,"['mean_age', 'extra_time', 'next_fixture_days']",False
3,-0.23967718003510247,0.26593601172831216,0.36899854085247596,0.03268079035269322,8.046531897944062,7.208476125256929e-06,-0.11811997101184224,74,team_better,"['mean_age', 'extra_time', 'next_fixture_days']",False
4,0.8034953870843513,0.23667745109287674,0.0011659100357721758,0.1875109400619377,12.11891649540184,1.9175926390947618e-07,0.3959861836519123,74,team_better,"['mean_age', 'extra_time', 'next_fixture_days']",True
5,0.15240086307744588,0.47329170295216244,0.7495453822720779,0.10484573197734115,2.763611894344324,0.04429646755603515,0.07510763238390565,74,team_better,"['mean_age', 'extra_time', 'next_fixture_days']",False
6,0.35351407765167897,0.4561422961882481,0.4503801784960427,0.056084730638446545,3.639151208421379,0.0289931075929467,0.17422214579785542,74,team_better,"['mean_age', 'extra_time', 'next_fixture_days']",False
1,0.7767987681971806,0.7696903189126933,0.31346133782916774,0.042863544754285554,26.382681513147045,1.8068738133115605e-19,0.3828293038496509,75,team_better,"['total_value', 'distance', 'team_home']",False
2,-0.10052370750470638,0.21703658071992304,0.6436193414419094,0.0572115671668888,19.139239644777224,7.135125571227818e-14,-0.04954104272555198,75,team_better,"['total_value', 'distance', 'team_home']",False
3,-0.5466688714655381,0.3218021218150168,0.09158310090598218,0.03681564225517864,10.442304483856711,1.9731767726321622e-07,-0.26941451514545006,75,team_better,"['total_value', 'distance', 'team_home']",True
4,0.5059625169419157,0.30428508383729064,0.10109658726041881,0.2528638339865036,12.251441816469418,1.6560744430414656e-07,0.2493532251401861,75,team_better,"['total_value', 'distance', 'team_home']",False
5,0.79038281935947,1.380405376634079,0.570935247533984,0.11439964348879184,5.3094058474170565,0.0021434765939233554,0.38952392421057974,75,team_better,"['total_value', 'distance', 'team_home']",False
6,0.2922010907046032,0.6658351520333537,0.6670262858654263,0.07358383617579978,6.205612303887456,0.003747032995301626,0.14400530062395375,75,team_better,"['total_value', 'distance', 'team_home']",False
1,-0.13643243751199813,0.2650650936237821,0.6070330158086287,0.03950604640704314,26.381144312329592,1.8112086384310785e-19,-0.06723792211520505,76,team_better,"['total_value', 'distance', 'extra_time']",False
2,-0.012936296649102286,0.21613554650008546,0.9523172263786601,0.04801575903241562,19.073874453152936,7.880092515639734e-14,-0.006375387865331034,76,team_better,"['total_value', 'distance', 'extra_time']",False
3,-0.5852388433718597,0.3263686619966882,0.07510247433402345,0.03881190486958852,10.099093931793028,3.274059417724056e-07,-0.288422932896506,76,team_better,"['total_value', 'distance', 'extra_time']",True
4,0.5597019661226212,0.2978809341969362,0.06466881857223064,0.27299539823694197,12.413056591962418,1.3860760024503625e-07,0.27583760791908746,76,team_better,"['total_value', 'distance', 'extra_time']",True
5,-0.19028468166456128,0.8387628698872098,0.8219729491893678,0.10603777795059499,4.5435641897570465,0.005092487634520453,-0.09377789357720151,76,team_better,"['total_value', 'distance', 'extra_time']",False
6,0.2915930229307456,0.6237188759568835,0.6468566877016865,0.05494711285222065,4.7318833659782165,0.01138194330190455,0.14370562692197356,76,team_better,"['total_value', 'distance', 'extra_time']",False
